Title,GitHubCoverURL
Sunrise on the Reaping: A Hunger Games novel,https://mrchristianq.github.io/chris-delicious-library/covers/books/sunrise-on-the-reaping-a-hunger-games-novel.jpg
Mockingjay,https://mrchristianq.github.io/chris-delicious-library/covers/books/mockingjay.jpg
Catching Fire,https://mrchristianq.github.io/chris-delicious-library/covers/books/catching-fire.jpg
The Baby-sitter,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-baby-sitter.jpg
Mistborn: The Final Empire,https://mrchristianq.github.io/chris-delicious-library/covers/books/mistborn-the-final-empire.jpg
Agatha Christie: Seven Dials,https://mrchristianq.github.io/chris-delicious-library/covers/books/agatha-christie-seven-dials.jpg
