Title,GitHubCoverURL
The Afterparty,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-afterparty.jpg
The Woman in the House Across the Street from the Girl in the Window,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-woman-in-the-house-across-the-street-from-the-.jpg
The Gilded Age,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-gilded-age.jpg
Peacemaker,https://mrchristianq.github.io/chris-delicious-library/covers/tv/peacemaker.jpg
Wolf Like Me,https://mrchristianq.github.io/chris-delicious-library/covers/tv/wolf-like-me.jpg
The Tourist,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-tourist.jpg
The Book of Boba Fett,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-book-of-boba-fett.jpg
Station Eleven,https://mrchristianq.github.io/chris-delicious-library/covers/tv/station-eleven.jpg
MacGruber,https://mrchristianq.github.io/chris-delicious-library/covers/tv/macgruber.jpg
Into the Dark,https://mrchristianq.github.io/chris-delicious-library/covers/tv/into-the-dark.jpg
The Wheel of Time,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-wheel-of-time.jpg
The Sex Lives of College Girls,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-sex-lives-of-college-girls.jpg
Yellowjackets,https://mrchristianq.github.io/chris-delicious-library/covers/tv/yellowjackets.jpg
Dexter: New Blood,https://mrchristianq.github.io/chris-delicious-library/covers/tv/dexter-new-blood.jpg
I Know What You Did Last Summer,https://mrchristianq.github.io/chris-delicious-library/covers/tv/i-know-what-you-did-last-summer.jpg
Just Beyond,https://mrchristianq.github.io/chris-delicious-library/covers/tv/just-beyond.jpg
Chucky,https://mrchristianq.github.io/chris-delicious-library/covers/tv/chucky.jpg
Midnight Mass,https://mrchristianq.github.io/chris-delicious-library/covers/tv/midnight-mass.jpg
Squid Game,https://mrchristianq.github.io/chris-delicious-library/covers/tv/squid-game.jpg
Dan Brown's The Lost Symbol,https://mrchristianq.github.io/chris-delicious-library/covers/tv/dan-browns-the-lost-symbol.jpg
Y: The Last Man,https://mrchristianq.github.io/chris-delicious-library/covers/tv/y-the-last-man.jpg
Only Murders in the Building,https://mrchristianq.github.io/chris-delicious-library/covers/tv/only-murders-in-the-building.jpg
Clickbait,https://mrchristianq.github.io/chris-delicious-library/covers/tv/clickbait.jpg
Chapelwaite,https://mrchristianq.github.io/chris-delicious-library/covers/tv/chapelwaite.jpg
American Horror Stories,https://mrchristianq.github.io/chris-delicious-library/covers/tv/american-horror-stories.jpg
The White Lotus,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-white-lotus.jpg
Resident Evil: Infinite Darkness,https://mrchristianq.github.io/chris-delicious-library/covers/tv/resident-evil-infinite-darkness.jpg
Loki,https://mrchristianq.github.io/chris-delicious-library/covers/tv/loki.jpg
Jupiter's Legacy,https://mrchristianq.github.io/chris-delicious-library/covers/tv/jupiters-legacy.jpg
The Mosquito Coast,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-mosquito-coast.jpg
Shadow and Bone,https://mrchristianq.github.io/chris-delicious-library/covers/tv/shadow-and-bone.jpg
Rutherford Falls,https://mrchristianq.github.io/chris-delicious-library/covers/tv/rutherford-falls.jpg
Big Shot,https://mrchristianq.github.io/chris-delicious-library/covers/tv/big-shot.jpg
Made For Love,https://mrchristianq.github.io/chris-delicious-library/covers/tv/made-for-love.jpg
The Irregulars,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-irregulars.jpg
Encounter,https://mrchristianq.github.io/chris-delicious-library/covers/tv/encounter.jpg
The Falcon and The Winter Soldier,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-falcon-and-the-winter-soldier.jpg
Tell Me Your Secrets,https://mrchristianq.github.io/chris-delicious-library/covers/tv/tell-me-your-secrets.jpg
WandaVision,https://mrchristianq.github.io/chris-delicious-library/covers/tv/wandavision.jpg
Secrets of Sulphur Springs,https://mrchristianq.github.io/chris-delicious-library/covers/tv/secrets-of-sulphur-springs.jpg
The Stand (2020),https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-stand-2020.jpg
30 Coins,https://mrchristianq.github.io/chris-delicious-library/covers/tv/30-coins.jpg
The Flight Attendant,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-flight-attendant.jpg
The Sister,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-sister.jpg
The Undoing,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-undoing.jpg
Monsterland,https://mrchristianq.github.io/chris-delicious-library/covers/tv/monsterland.jpg
Ratched,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ratched.jpg
The Third Day,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-third-day.jpg
Lovecraft Country,https://mrchristianq.github.io/chris-delicious-library/covers/tv/lovecraft-country.jpg
Ted Lasso,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ted-lasso.jpg
Warrior Nun,https://mrchristianq.github.io/chris-delicious-library/covers/tv/warrior-nun.jpg
Space Force,https://mrchristianq.github.io/chris-delicious-library/covers/tv/space-force.jpg
Love Life,https://mrchristianq.github.io/chris-delicious-library/covers/tv/love-life.jpg
Upload,https://mrchristianq.github.io/chris-delicious-library/covers/tv/upload.jpg
Defending Jacob,https://mrchristianq.github.io/chris-delicious-library/covers/tv/defending-jacob.jpg
Home Before Dark,https://mrchristianq.github.io/chris-delicious-library/covers/tv/home-before-dark.jpg
Tales from the Loop,https://mrchristianq.github.io/chris-delicious-library/covers/tv/tales-from-the-loop.jpg
DAVE,https://mrchristianq.github.io/chris-delicious-library/covers/tv/dave.jpg
Dispatches from Elsewhere,https://mrchristianq.github.io/chris-delicious-library/covers/tv/dispatches-from-elsewhere.jpg
Locke & Key,https://mrchristianq.github.io/chris-delicious-library/covers/tv/locke-key.jpg
Mythic Quest,https://mrchristianq.github.io/chris-delicious-library/covers/tv/mythic-quest.jpg
Star Trek: Picard,https://mrchristianq.github.io/chris-delicious-library/covers/tv/star-trek-picard.jpg
